name,code
강남,56
강변,1
건대입구,229
구로,10
대학로,63
동대문,252
등촌,230
명동,9
명동역 씨네라이브러리,105
목동,11
미아,57
불광,30
상봉,46
성신여대입구,300
송파,88
수유,276
신촌아트레온,150
압구정,40
여의도,112
연남,292
영등포,59
왕십리,74
용산아이파크몰,13
중계,131
천호,199
청담씨네시티,107
피카디리1958,223
하계,164
홍대,191
경기광주,260
고양행신,255
광교,257
광교상현,266
구리,232
기흥,344
김포,278
김포운양,188
김포한강,298
동백,124
동수원,41
동탄,106
동탄역,265
동탄호수공원,233
배곧,226
범계,155
부천,15
부천역,194
부천옥길,287
북수원,49
산본,242
서현,196
성남모란,304
소풍,143
수원,12
스타필드시티위례,274
시흥,73
안산,211
안성,279
야탑,3
양주옥정,262
역곡,338
오리,4
오산,305
오산중앙,307
용인,271
의정부,113
의정부태흥,187
이천,205
일산,54
정왕,320
죽전,55
파주문산,148
파주야당,310
판교,181
평촌,195
평택,52
평택소사,214
포천,309
하남미사,326
화성봉담,301
화정,145
DRIVE IN 곤지암,342
계양,43
남주안,198
부평,21
송도타임스페이스,325
연수역,247
인천,2
인천공항,118
인천논현,254
인천도화,340
인천연수,258
인천학익,269
주안역,308
청라,235
DRIVE IN 스퀘어원,339
강릉,139
원주,144
인제,281
춘천,70
논산,261
당진,207
대전,7
대전가수원,286
대전가오,154
대전탄방,202
대전터미널,127
보령,275
서산,91
세종,219
유성노은,206
천안,44
천안시청,332
천안터미널,293
천안펜타포트,110
청주(서문),228
청주성안길,297
청주율량,282
청주지웰시티,142
청주터미널,319
충북혁신,284
충주교현,328
홍성,217
대구수성,157
대구스타디움,108
대구아카데미,185
대구연경,343
대구월성,216
대구이시아,117
대구칠곡,71
대구한일,147
대구현대,109
남포,65
대연,61
동래,42
서면,5
서면삼정타워,285
서면상상마당,303
센텀시티,89
아시아드,160
울산삼산,128
울산신천,264
울산진장,246
정관,306
하단아트몰링,245
해운대,318
화명,159
거제,263
경산,330
고성,323
구미,53
김천율곡,240
김해,28
김해율하,311
김해장유,239
마산,33
북포항,97
안동,272
양산삼호,234
진주혁신,324
창원,23
창원더시티,79
창원상남,283
통영,156
포항,45
광양,220
광양 엘에프스퀘어,221
광주금남로,295
광주상무,193
광주용봉,210
광주첨단,218
광주충장로,244
광주터미널,90
광주하남,215
군산,277
나주,237
목포,289
목포평화광장,280
서전주,225
순천,114
순천신대,268
여수웅천,315
익산,20
전주고사,213
전주에코시티,336
전주효자,179
정읍,186
제주,302
제주노형,259
